SAMPLE+gene	variant
PD11113a::CEBPA	1
PD11113a::DNMT3A	1
PD11113a::FLT3	1
PD11113a::NPM1	1
PD11113a::PTPN11	1
PD11113a::TET2	2
PD11114a::IDH2	1
PD11115a::NPM1	1
PD11115a::NRAS	1
PD11116a::MLL	1
PD11116a::STAG2	1
PD11117a::IDH2	1
PD11117a::NPM1	1
PD11118a::FLT3	1
PD11119a::ASXL1	1
PD11119a::FLT3	1
PD11119a::MLL	1
PD11119a::RAD21	1
PD11119a::RUNX1	1
PD11119a::SRSF2	1
PD11119a::STAG2	1
PD11119a::TET2	1
PD11120a::CEBPA	1
PD11120a::TET2	1
PD11122a::CEBPA	1
PD11122a::IDH2	1
PD11122a::NPM1	1
PD11122a::SRSF2	1
PD11123a::EZH2	1
PD11124a::ASXL1	1
PD11124a::FLT3	1
PD11124a::SRSF2	1
PD11124a::TET2	1
PD11125a::IDH1	1
PD11125a::NPM1	1
PD11125a::NRAS	1
PD11125a::PTPN11	1
PD11127a::EZH2	1
PD11128a::NRAS	1
PD11128a::PTPN11	1
PD11128a::SF3B1	1
PD11129a::FLT3	1
PD11129a::RUNX1	2
PD11129a::SRSF2	1
PD11131a::CREBBP	1
PD11131a::DNMT3A	1
PD11131a::FLT3	1
PD11131a::IDH2	1
PD11131a::RAD21	1
PD11132a::FLT3	1
PD11132a::WT1	1
PD11133a::NPM1	1
PD11133a::PTPN11	1
PD11133a::STAG2	1
PD11133a::TET2	2
PD11134a::ASXL1	1
PD11134a::IDH2	1
PD11134a::RB1	1
PD11134a::SRSF2	1
PD11135a::DNMT3A	1
PD11135a::RUNX1	1
PD11135a::SRSF2	1
PD11136a::SF3B1	1
PD11136a::SRSF2	1
PD11136a::STAG2	1
PD11138a::TP53	1
PD11139a::PTPN11	1
PD11140a::DNMT3A	1
PD11140a::IDH1	1
PD11141a::KRAS	1
PD11141a::NRAS	2
PD11143a::TP53	1
PD11144a::DNMT3A	1
PD11144a::IDH2	2
PD11144a::SF3B1	1
PD11145a::DNMT3A	1
PD11145a::IDH2	1
PD11145a::RUNX1	2
PD11145a::SRSF2	1
PD11146a::BCOR	1
PD11146a::DNMT3A	1
PD11146a::STAG2	1
PD11146a::TET2	1
PD11146a::U2AF1	1
PD11147a::ASXL1	1
PD11147a::CEBPA	1
PD11147a::SRSF2	1
PD11147a::TET2	2
PD11148a::CREBBP	1
PD11148a::NPM1	1
PD11148a::TET2	2
PD11150a::DNMT3A	1
PD11150a::FLT3	2
PD11150a::NPM1	1
PD11150a::RUNX1	2
PD11150a::TET2	1
PD11151a::BCOR	1
PD11151a::DNMT3A	2
PD11151a::TP53	1
PD11152a::KDM6A	1
PD11152a::STAG2	1
PD11152a::TP53	1
PD11153a::ASXL1	1
PD11153a::CBL	2
PD11153a::EZH2	1
PD11153a::PHF6	1
PD11153a::RB1	1
PD11154a::NF1	2
PD11154a::TP53	2
PD11155a::KIT	1
PD11159a::IDH2	1
PD11159a::NPM1	1
PD11159a::PTPN11	1
PD11160a::TP53	1
PD11162a::DNMT3A	1
PD11162a::FLT3	1
PD11162a::IDH2	1
PD11162a::NPM1	1
PD11163a::DNMT3A	1
PD11163a::FBXW7	1
PD11163a::IDH1	1
PD11164a::KRAS	1
PD11164a::TET2	1
PD11164a::ZRSR2	1
PD11165a::DNMT3A	1
PD11165a::NPM1	1
PD11165a::NRAS	1
PD11165a::TET2	1
PD11166a::EP300	1
PD11166a::FLT3	1
PD11166a::IDH2	1
PD11167a::NRAS	1
PD11168a::TP53	2
PD11169a::BCOR	1
PD11169a::PTPN11	1
PD11169a::TP53	1
PD11170a::DNMT3A	1
PD11170a::IDH2	1
PD11171a::CEBPA	1
PD11171a::DNMT3A	1
PD11171a::FLT3	1
PD11172a::FLT3	1
PD11172a::NPM1	1
PD11174a::NPM1	1
PD11174a::NRAS	1
PD11174a::SRSF2	1
PD11174a::TET2	1
PD11175a::NRAS	1
PD11175a::TP53	1
PD11176a::FLT3	1
PD11176a::IDH2	1
PD11176a::NPM1	1
PD11177a::CREBBP	1
PD11177a::PHF6	1
PD11178a::TP53	2
PD11179a::DNMT3A	1
PD11179a::NF1	1
PD11181a::ASXL1	1
PD11181a::CUX1	1
PD11181a::IDH1	1
PD11183a::ASXL1	1
PD11183a::BCOR	1
PD11183a::RUNX1	1
PD11183a::SRSF2	1
PD11183a::STAG2	1
PD11184a::DNMT3A	1
PD11184a::IDH2	1
PD11184a::NRAS	2
PD11185a::FLT3	1
PD11186a::IDH2	1
PD11186a::NPM1	1
PD11187a::NPM1	1
PD11187a::NRAS	1
PD11189a::CEBPA	1
PD11189a::TET2	2
PD11190a::DNMT3A	1
PD11190a::IDH2	1
PD11190a::NPM1	1
PD11190a::NRAS	2
PD11191a::PHF6	1
PD11192a::DNMT3A	1
PD11192a::FLT3	1
PD11192a::NPM1	1
PD11193a::GATA2	1
PD11193a::JAK2	1
PD11193a::SF3B1	1
PD11194a::TP53	1
PD11195a::FLT3	1
PD11195a::NPM1	1
PD11195a::RAD21	1
PD11195a::TET2	1
PD11196a::DNMT3A	1
PD11196a::IDH1	1
PD11196a::NPM1	1
PD11196a::NRAS	1
PD11197a::FLT3	1
